,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
429,True,0,0.0,False,22,11.0,False,0,0.0,False,0,0.0,False,0,0.0,2.0,44,22,2.9189859472289976,22,False,0.5545454545454546,11.0,0,22,0,0,12,12,22,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
430,True,0,0.0,False,23,11.5,True,0,0.0,False,0,0.0,False,0,0.0,2.0,46,22,2.925834574695612,23,False,0.55175983436853,11.5,0,23,0,0,12,12,23,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
431,True,0,0.0,False,37,18.5,True,0,0.0,False,0,0.0,False,0,0.0,2.0,74,36,2.9712318206954276,37,False,0.5301158301158301,18.5,0,37,0,0,19,19,37,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False
432,True,0,0.0,False,0,0.0,False,31,3.875,True,0,0.0,False,3,0.08333333333333333,5.0,74,31,2.8915161530666227,37,False,0.45508008008008016,3.875,0,0,31,3,8,10,31,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
433,True,0,0.0,False,0,0.0,False,31,3.875,True,0,0.0,False,3,0.08333333333333333,5.0,74,31,2.9074157329198473,37,False,0.45508008008008016,3.875,0,0,31,3,8,11,31,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
434,True,0,0.0,False,0,0.0,False,31,3.875,True,0,0.0,False,3,0.08333333333333333,5.0,74,31,2.8990371711363654,37,False,0.45508008008008016,3.875,0,0,31,3,8,11,31,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True
435,True,2,0.5,False,2,0.5,False,2,0.5,False,0,0.0,False,0,0.0,0.0,8,3,1.7320508075688774,4,False,0.5,0.5,2,2,2,0,2,3,2,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False
436,True,3,0.6,True,1,0.14285714285714285,True,1,0.14285714285714285,True,3,0.6,True,0,0.0,0.0,12,5,2.273461217175998,6,False,0.37142857142857144,0.6,0,2,2,3,3,4,3,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False
437,True,0,0.0,False,0,0.0,False,12,1.0,False,12,1.0,False,0,0.0,0.0,44,19,2.735344215124961,22,False,0.5,1.0,12,12,0,12,7,8,12,True,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False
438,True,0,0.0,False,0,0.0,False,12,1.3333333333333333,False,9,0.75,True,0,0.0,0.0,38,16,2.645794100178595,19,False,0.5208333333333333,1.3333333333333333,9,9,3,9,7,7,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
439,True,0,0.0,False,0,0.0,False,12,2.0,False,6,0.5,False,0,0.0,0.0,32,14,2.5988071631183414,16,False,0.625,2.0,6,6,6,6,5,6,12,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False
440,True,8,1.3333333333333333,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,6.0,24,8,2.5615528128088343,12,True,0.34722222222222215,1.3333333333333333,8,0,0,0,6,6,8,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
