,first_disk_embedded,first_disk_t_bundle,second_disk_embedded,second_disk_t_bundle,length_first_disk,length_second_disk,length_third_disk,length_fourth_disk,length_fifth_disk,length_sixth_disk,N,fake_surface
113,False,True,False,True,11,4,2.0,1.0,,,14,True
114,False,False,False,True,7,5,4.0,2.0,,,14,True
115,False,True,False,True,7,5,4.0,2.0,,,14,True
116,False,True,True,False,15,1,1.0,1.0,,,14,True
117,False,False,True,True,15,1,1.0,1.0,,,14,True
118,False,True,True,False,15,1,1.0,1.0,,,14,True
119,False,False,True,True,15,1,1.0,1.0,,,14,True
120,False,False,True,True,15,1,1.0,1.0,,,14,True
121,False,True,True,True,15,1,1.0,1.0,,,14,True
122,False,False,True,True,15,1,1.0,1.0,,,14,True
123,False,False,True,True,15,1,1.0,1.0,,,14,True
124,False,False,True,True,15,1,1.0,1.0,,,14,True
125,False,False,True,False,15,1,1.0,1.0,,,14,True
126,False,True,True,False,15,1,1.0,1.0,,,14,True
127,False,False,True,True,15,1,1.0,1.0,,,14,True
128,False,True,True,True,15,1,1.0,1.0,,,14,True
129,False,True,True,True,15,1,1.0,1.0,,,14,True
130,False,False,True,False,15,1,1.0,1.0,,,14,True
131,False,True,True,False,15,1,1.0,1.0,,,14,True
132,False,True,True,False,15,1,1.0,1.0,,,14,True
133,False,True,True,False,15,1,1.0,1.0,,,14,True
134,False,False,True,True,15,1,1.0,1.0,,,14,True
135,False,False,True,True,15,1,1.0,1.0,,,14,True
136,False,True,True,True,15,1,1.0,1.0,,,14,True
137,False,False,True,True,15,1,1.0,1.0,,,14,True
138,False,True,True,False,15,1,1.0,1.0,,,14,True
139,False,True,False,True,11,5,1.0,1.0,,,14,True
140,False,True,False,True,11,5,1.0,1.0,,,14,True
141,False,False,False,True,11,5,1.0,1.0,,,14,True
142,False,False,False,True,11,5,1.0,1.0,,,14,True
143,False,True,False,True,11,5,1.0,1.0,,,14,True
144,False,True,False,True,11,5,1.0,1.0,,,14,True
145,False,True,False,False,11,5,1.0,1.0,,,14,True
146,False,True,False,False,12,4,1.0,1.0,,,14,True
147,False,False,False,False,12,4,1.0,1.0,,,14,True
148,False,True,False,False,12,4,1.0,1.0,,,14,True
149,False,True,False,False,12,4,1.0,1.0,,,14,True
150,False,True,False,False,12,4,1.0,1.0,,,14,True
151,False,False,False,False,12,4,1.0,1.0,,,14,True
152,False,True,False,False,12,4,1.0,1.0,,,14,True
153,False,True,False,False,12,4,1.0,1.0,,,14,True
154,False,False,False,False,12,4,1.0,1.0,,,14,True
155,False,False,False,False,12,4,1.0,1.0,,,14,True
156,False,False,False,False,12,4,1.0,1.0,,,14,True
157,False,True,False,False,12,4,1.0,1.0,,,14,True
158,False,False,False,False,12,4,1.0,1.0,,,14,True
159,False,False,False,False,12,4,1.0,1.0,,,14,True
160,False,True,False,True,8,5,4.0,1.0,,,14,True
161,False,True,False,False,8,5,4.0,1.0,,,14,True
162,False,True,False,False,8,5,4.0,1.0,,,14,True
163,False,False,False,False,8,5,4.0,1.0,,,14,True
164,False,True,False,False,8,8,1.0,1.0,,,14,True
165,False,False,False,False,8,8,1.0,1.0,,,14,True
166,False,False,False,False,9,4,4.0,1.0,,,14,True
167,False,True,False,False,9,4,4.0,1.0,,,14,True
168,False,False,False,False,10,6,1.0,1.0,,,14,True
169,False,False,False,False,10,6,1.0,1.0,,,14,True
170,False,False,False,True,10,6,1.0,1.0,,,14,True
171,False,False,False,True,10,6,1.0,1.0,,,14,True
172,False,False,False,True,9,7,1.0,1.0,,,14,True
173,False,True,False,True,9,7,1.0,1.0,,,14,True
174,False,True,False,True,9,7,1.0,1.0,,,14,True
175,False,True,False,True,9,7,1.0,1.0,,,14,True
176,False,False,False,True,9,7,1.0,1.0,,,14,True
177,False,False,False,True,9,7,1.0,1.0,,,14,True
178,False,True,False,True,9,7,1.0,1.0,,,14,True
179,False,True,True,True,13,3,1.0,1.0,,,14,True
180,False,False,True,True,13,3,1.0,1.0,,,14,True
181,False,True,False,False,10,5,2.0,1.0,,,14,True
182,False,True,False,False,10,5,2.0,1.0,,,14,True
183,False,False,False,True,10,5,2.0,1.0,,,14,True
184,False,False,False,False,10,5,2.0,1.0,,,14,True
185,False,False,False,False,10,5,2.0,1.0,,,14,True
186,False,False,False,True,10,5,2.0,1.0,,,14,True
187,False,False,False,False,10,5,2.0,1.0,,,14,True
188,False,True,False,False,10,5,2.0,1.0,,,14,True
189,False,False,False,True,10,5,2.0,1.0,,,14,True
190,False,True,False,True,10,5,2.0,1.0,,,14,True
191,False,True,False,False,10,5,2.0,1.0,,,14,True
192,False,False,False,False,10,5,2.0,1.0,,,14,True
193,False,False,False,False,10,5,2.0,1.0,,,14,True
194,False,True,False,True,10,5,2.0,1.0,,,14,True
195,False,False,True,False,13,2,2.0,1.0,,,14,True
196,False,True,True,True,13,2,2.0,1.0,,,14,True
197,False,False,True,False,13,2,2.0,1.0,,,14,True
198,False,False,True,False,13,2,2.0,1.0,,,14,True
199,False,True,True,False,13,2,2.0,1.0,,,14,True
200,False,True,True,False,13,2,2.0,1.0,,,14,True
201,False,False,True,False,13,2,2.0,1.0,,,14,True
202,False,True,True,False,13,2,2.0,1.0,,,14,True
203,False,False,True,False,13,2,2.0,1.0,,,14,True
204,False,False,True,False,13,2,2.0,1.0,,,14,True
205,False,True,True,False,13,2,2.0,1.0,,,14,True
206,False,True,True,False,13,2,2.0,1.0,,,14,True
207,False,True,True,False,13,2,2.0,1.0,,,14,True
208,False,False,True,False,13,2,2.0,1.0,,,14,True
209,False,True,False,True,9,5,2.0,2.0,,,14,True
210,False,False,False,True,9,5,2.0,2.0,,,14,True
211,False,True,False,False,9,5,2.0,2.0,,,14,True
212,False,True,False,False,9,5,2.0,2.0,,,14,True
213,False,True,False,True,9,5,2.0,2.0,,,14,True
214,False,False,False,False,9,5,2.0,2.0,,,14,True
215,False,False,False,False,11,4,2.0,1.0,,,14,True
216,False,True,False,False,11,4,2.0,1.0,,,14,True
217,False,False,False,False,11,4,2.0,1.0,,,14,True
218,False,True,False,False,11,4,2.0,1.0,,,14,True
219,False,False,True,True,12,3,2.0,1.0,,,14,True
220,False,True,True,True,12,3,2.0,1.0,,,14,True
221,False,False,True,True,12,3,2.0,1.0,,,14,True
222,False,True,False,True,7,5,5.0,1.0,,,14,True
223,False,True,False,True,7,5,5.0,1.0,,,14,True
224,False,True,False,False,7,5,5.0,1.0,,,14,True
225,False,False,False,False,7,5,5.0,1.0,,,14,True
226,False,False,False,True,7,5,5.0,1.0,,,14,True
227,False,True,False,True,7,5,5.0,1.0,,,14,True
228,False,False,True,True,11,3,2.0,2.0,,,14,True
229,False,True,True,True,11,3,2.0,2.0,,,14,True
230,False,False,True,True,11,3,2.0,2.0,,,14,True
231,False,False,False,False,10,4,3.0,1.0,,,14,True
232,False,True,False,False,10,4,3.0,1.0,,,14,True
233,False,False,False,False,10,4,3.0,1.0,,,14,True
234,False,True,False,True,6,5,5.0,2.0,,,14,True
235,False,False,False,True,6,5,5.0,2.0,,,14,True
236,False,False,False,True,8,5,4.0,1.0,,,14,True
237,False,False,False,False,8,5,4.0,1.0,,,14,True
238,False,False,False,False,8,7,2.0,1.0,,,14,True
239,False,False,False,True,8,7,2.0,1.0,,,14,True
240,False,False,False,False,9,4,4.0,1.0,,,14,True
241,False,True,False,False,9,4,4.0,1.0,,,14,True
242,False,False,False,False,7,4,4.0,3.0,,,14,True
243,False,True,True,True,11,3,2.0,2.0,,,14,True
244,False,True,True,True,11,3,2.0,2.0,,,14,True
245,False,True,True,True,11,3,2.0,2.0,,,14,True
246,False,False,True,True,11,3,2.0,2.0,,,14,True
247,False,False,True,True,11,3,2.0,2.0,,,14,True
248,False,True,True,True,11,3,2.0,2.0,,,14,True
249,False,False,True,True,11,3,2.0,2.0,,,14,True
250,False,False,False,True,8,5,3.0,2.0,,,14,True
251,False,False,False,False,8,5,3.0,2.0,,,14,True
252,False,True,False,True,8,5,3.0,2.0,,,14,True
253,False,True,False,False,8,5,3.0,2.0,,,14,True
254,False,False,True,True,10,3,3.0,2.0,,,14,True
255,False,True,True,True,10,3,3.0,2.0,,,14,True
256,False,True,False,False,7,4,4.0,3.0,,,14,True
257,False,False,False,False,14,5,2.0,2.0,1.0,,17,True
258,False,False,False,False,14,5,2.0,2.0,1.0,,17,True
259,False,True,False,False,14,5,2.0,2.0,1.0,,17,True
260,False,True,False,False,14,5,2.0,2.0,1.0,,17,True
261,False,True,False,False,14,5,2.0,2.0,1.0,,17,True
262,False,False,False,False,14,5,2.0,2.0,1.0,,17,True
263,False,True,False,False,13,5,4.0,1.0,1.0,,17,True
264,False,True,False,False,13,5,4.0,1.0,1.0,,17,True
265,False,False,False,False,13,5,4.0,1.0,1.0,,17,True
266,False,False,False,False,13,5,4.0,1.0,1.0,,17,True
267,False,False,False,False,13,5,4.0,1.0,1.0,,17,True
268,False,True,False,False,13,5,4.0,1.0,1.0,,17,True
